name,title,image_src,reports_to,chart_status
Nityananda Jayadevaprakash,Principal Research Engineer,https://cdn.theorg.com/ff12b76c-5096-4051-af92-ff6fd24ca067_thumb.jpg,John Giannandrea,3
Yang Zhao,"Director, Machine Learning And Search",no_match,John Giannandrea,3
Ranjit Panigrahi,Director - Data Engineering And Analytics,https://cdn.theorg.com/c20226e4-443f-4c1f-94ac-d0b436285b39_thumb.jpg,John Giannandrea,3
Vijay Krishnan,Data Scientist Manager,no_match,John Giannandrea,3
Jennie Cobb,"Data Science Manager, Apple Media Products",https://cdn.theorg.com/b3a37ce2-3167-4dce-94da-bda5169b8d2c_thumb.jpg,John Giannandrea,3
Tony Lopez,"Head Of Trust & Safety, Product & Strategy",no_match,John Giannandrea,3
Alan Dye,"VP, Human Interface Design",https://cdn.theorg.com/8445196a-6287-400b-ba5f-2ea2804cec2a_thumb.jpg,John Giannandrea,3
Chung-Yen Lin,ML Engineering Manager - AIML,https://cdn.theorg.com/861b21ca-230c-4b64-9672-255fd48a5333_thumb.jpg,John Giannandrea,3
Moses Pawar,Head - Apple Data Platform,https://cdn.theorg.com/4dbf20b9-4f69-4638-a5eb-0cb738d988dc_thumb.jpg,John Giannandrea,3
Sribalan Santhanam,"VP, Silicon Engineering Group",https://cdn.theorg.com/a2f51453-b249-4ccb-b173-e93d5a53f6a0_thumb.jpg,Johny Srouji,3
Priya Ananthanarayanan,Director of Hardware Technologies,https://cdn.theorg.com/8cefb4c8-96b4-4bd3-b606-34804f9a4a5d_thumb.jpg,Johny Srouji,3
Wei Chen,"VP, Display Technologies",https://cdn.theorg.com/d66559c9-13b3-439d-90eb-682550919ddf_thumb.jpg,Johny Srouji,3
Anant Mathur,Head Of Marcom Analytics,https://cdn.theorg.com/fbe0782c-e0e0-4559-82d9-9b0bdf6ce580_thumb.jpg,Johny Srouji,3
Fernando Mujica,"Director Of Engineering, Special Projects Group",no_match,Johny Srouji,3
Dan Murray,"Vice President, Silicon Engineering Group",https://cdn.theorg.com/f748a2d7-470f-4fbb-b331-7bb23a42b354_thumb.jpg,Johny Srouji,3
Fabian Klass,Vice President Of Engineering,no_match,Johny Srouji,3
Kate Bergeron,"VP, Hardware Engineering",https://cdn.theorg.com/1aa6e26b-1be4-4907-a7fb-3446af79bec4_thumb.jpg,John Ternus,3
Tang Yew Tan,"VP, iPhone & Apple Watch Product Design",https://cdn.theorg.com/e9a06372-fd69-417d-858b-681b9a05f15f_thumb.jpg,John Ternus,3
Matthew Costello,"VP, Hardware Engineering",https://cdn.theorg.com/bafe2da5-173d-44bb-b02f-87c780aa4138_thumb.jpg,John Ternus,3
Paul Meade,"VP, Hardware Engineering",https://cdn.theorg.com/95ee35e0-30b4-4984-8f7e-c398aeff1e54_thumb.jpg,John Ternus,3
Yannick Bertolus,"VP, Hardware Engineering",no_match,John Ternus,3
Gary Geaves,"VP, Acoustics",no_match,John Ternus,3
Laura Metz,"Senior Product Manager, iMac",https://cdn.theorg.com/9f34761f-fa1b-4c97-af64-226267055a21_thumb.jpg,John Ternus,3
Kevin Lynch,"VP, Technology",https://cdn.theorg.com/1682699c-e0ee-447d-8289-e70698043030_thumb.jpg,John Ternus,3
Greg Kemp,Storage Engineering Manager,https://cdn.theorg.com/5ef12cdd-43da-4f8a-80b1-591d8742113f_thumb.jpg,John Ternus,3
Sudhir Jain,Engineering Director - Artificial Intelligence And Data Platforms (aidp),https://cdn.theorg.com/65d4a1a0-c34f-415a-aa74-163996e664d3_thumb.jpg,John Ternus,3
Mauro Magnaghi,"Director, Camera Module Engineering",https://cdn.theorg.com/0316da65-35f3-472e-b8c8-fcd8f0d4e1c3_thumb.jpg,John Ternus,3
Minkyong Kim,Engineering Director,https://cdn.theorg.com/ccabcdb4-8d7c-4d33-a86d-77324f004c78_thumb.jpg,John Ternus,3
Megan Bowman,"Director Of Human Resources, Hardware Engineering",https://cdn.theorg.com/618988a4-c922-4636-920b-82cee5b06355_thumb.jpg,John Ternus,3
Kerry Hu,Principal Hardware Engineer,no_match,John Ternus,3
Kofi Boateng,Principal Hardware Design Engineer,no_match,John Ternus,3
Shelly Goldberg,"Vice President, Hardware Engineering",https://cdn.theorg.com/c9df3de5-db42-4194-b2cb-e5ea53ae8291_thumb.jpg,John Ternus,3
Tom Marieb,Vice President Of Product Integrity In Hardware Engineering,https://cdn.theorg.com/e21be72c-0922-4181-979c-e74d8f140bfd_thumb.jpg,John Ternus,3
Darin Divinia,Senior Director - Data Centers,https://cdn.theorg.com/bb29fb68-2c0a-4e11-b139-a8638bf86043_thumb.jpg,John Ternus,3
Andreas Wendker,"VP, Software Engineering",https://cdn.theorg.com/b18f4a01-ea54-4a3f-885d-fce57132e647_thumb.jpg,Craig Federighi,3
Bud Tribble,"VP, Software Technology",https://cdn.theorg.com/d1970bae-163d-4eba-8458-a6f4a78af069_thumb.jpg,Craig Federighi,3
Sebastian Marineau-Mes,"VP, Software - Camera, Photos & Security",no_match,Craig Federighi,3
Oliver Schusser,"VP, Apple Music & International",https://cdn.theorg.com/e25f86ff-8fb6-4bfc-8d3d-35e8a5503827_thumb.jpg,Craig Federighi,3
Cheryl Thomas,"VP, Software Engineering Operations",no_match,Craig Federighi,3
Jon Andrews,"VP, Core OS - Software Engineering",no_match,Craig Federighi,3
Todd Teresi,"VP, Advertising Platforms",https://cdn.theorg.com/1cb15792-56c4-49d6-94c9-5fe44b0b6562_thumb.jpg,Craig Federighi,3
Susan Prescott,"VP, Pro Markets",no_match,Craig Federighi,3
Timothy Campos,"VP, CIO",no_match,Craig Federighi,3
Christopher Brown,Principal Software Engineer,no_match,Craig Federighi,3
Kelly Lynn,Vice President Of Product Management,no_match,Craig Federighi,3
Bridget Yang,"Product Data Science Lead, Apple TV",https://cdn.theorg.com/c5a6315b-ecd9-4cdb-9a4b-beb83ec65589_thumb.jpg,Craig Federighi,3
Kelvin Chiu,Principal Software Engineer,https://cdn.theorg.com/925c048c-5891-449b-9b18-4a6078dfe5c4_thumb.jpg,Craig Federighi,3
Amit Bansal,Director Of Information Technology,https://cdn.theorg.com/0d0b8e1e-2b5b-4bfb-a8ac-7b26d3a4ca22_thumb.jpg,Craig Federighi,3
Ravi Sharma,Head Of Data & AI Governance At Apple,https://cdn.theorg.com/2dde29eb-e923-45f9-8ebd-a46bba824120_thumb.jpg,Craig Federighi,3
Prudhvi Rudraraju,Software Engineering Manager,no_match,Craig Federighi,3
Albert Liu,"SW Engineering Manager, System Software Power",https://cdn.theorg.com/e9beff12-186d-485e-be1f-7719dce17327_thumb.jpg,Craig Federighi,3
Nery O.,Software Engineering Manager,no_match,Craig Federighi,3
Sarfarazkhan Pathan,Senior Data Engineer,no_match,Craig Federighi,3
Anuj Mehta,Manager (siri Product Data Science And Insights) At Apple,no_match,Craig Federighi,3
Supriya Sinha,"Senior Manager, Apple Cloud Services",no_match,Craig Federighi,3
Vaibhav Singhal,"Sr. Power & Performance Engineer, Apple Cloud Services",https://cdn.theorg.com/e1fdf2c4-af3c-41e8-96dd-45ae3a032b9c_thumb.jpg,Craig Federighi,3
Shyam Ramakrishna,Senior Engineering Manager - Data | Apple Cloud Services,https://cdn.theorg.com/5f7f10ef-1cc1-451b-82ae-f18ab2e4ee48_thumb.jpg,Craig Federighi,3
Gunaranjan Arigai,Sr Engineering Manager - Data Platform (apple Media Products),https://cdn.theorg.com/5c29669f-b68b-428a-b09f-232e0088dd6a_thumb.jpg,Craig Federighi,3
Jennifer Bailey,"VP of Wallet, Payments & Commerce",no_match,Craig Federighi,3
Roger Rosner,"VP, Applications",https://cdn.theorg.com/4335510f-2dab-4ccb-916a-a74c0067fc78_thumb.jpg,Craig Federighi,3
Farrel Farhoudi,"VP, WW AppleCare",https://cdn.theorg.com/addd79c0-6f87-4d8e-a907-c413f0d6f679_thumb.jpg,Craig Federighi,3
Tor Myhren,"VP, Marketing Communications",https://cdn.theorg.com/0ad1d62e-d5c0-4b23-97b5-9b7def903599_thumb.jpg,Greg Joswiak,3
Bob Borchers,"VP, WW Product Marketing",no_match,Greg Joswiak,3
Kaiann Drance,"VP, WW Product Marketing",https://cdn.theorg.com/b6531b3f-0b5c-477f-9e92-82d0f8e9d7a8_thumb.jpg,Greg Joswiak,3
Zach Kahn,"PR, Podcasts",https://cdn.theorg.com/1f911e97-7b6f-4318-8188-d292b93afd7b_thumb.jpg,Greg Joswiak,3
Morgan Wandell,"Head Of International Content Development, Apple Tv+",https://cdn.theorg.com/2911345d-f083-45f9-a94b-5b642943fb46_thumb.jpg,Greg Joswiak,3
Amy Dickman,Head Of International Marketing - Apple Tv+,https://cdn.theorg.com/7d0b6b18-1e49-42f0-a0c2-99773eddce1f_thumb.jpg,Greg Joswiak,3
Ashley Behncke,"Head Of Retail Operations, Ownership & Analytics",https://cdn.theorg.com/42f83c8f-29a9-4465-86f3-d61eab8dfda4_thumb.jpg,Greg Joswiak,3
Sowmya Rajagopalan,"Senior Director, Worldwide Product Marketing | Pricing And Analytics",https://cdn.theorg.com/0ba2f3bb-9619-43aa-95da-323ada9c8baa_thumb.jpg,Greg Joswiak,3
Naivasha Dean,Head Of Editorial Content Management - music,https://cdn.theorg.com/9d2a723c-3944-492b-9c2e-e898788814ef_thumb.jpg,Greg Joswiak,3
Kat T.,"Head Of Programming - Today At Apple, Retail Engagement And Marketing, AU",https://cdn.theorg.com/c7181ce2-b2f7-43eb-bc91-2500c2ed31c8_thumb.jpg,Greg Joswiak,3
Lance Turner,"Head Of Audience Marketing, Apple Music",https://cdn.theorg.com/2844184c-a236-4efa-9d55-40882a8ef432_thumb.jpg,Greg Joswiak,3
Ludovic Schorno,Associate Creative Director. Worldwide Marketing,https://cdn.theorg.com/1c5070aa-18ce-4fba-97fb-5c752a1ca69d_thumb.jpg,Greg Joswiak,3
Shalini Poddar,"Country Director - India, Content Services",https://cdn.theorg.com/64fcdf74-9abe-4ea6-b724-e0fa2df6a7ff_thumb.jpg,Greg Joswiak,3
Tom Kydd,Global Head Of Brand Marketing At Beats By Dre,https://cdn.theorg.com/0199871e-0b55-4b2f-a3c1-365d8ab05afd_thumb.jpg,Greg Joswiak,3
Nana Adu-Sarfo,Head Of Music Marketing | Apple Music & Beats By Dr.dre,https://cdn.theorg.com/64a8d1bc-43ad-451e-b440-a2a7fe55da6b_thumb.jpg,Greg Joswiak,3
Magdalen Kennedy,"Senior Director, WW Media",https://cdn.theorg.com/4fc318a6-2f08-4b9e-9b0f-686b949387b8_thumb.jpg,Greg Joswiak,3
Devon H.,Head Of Brand & Integrated Marketing - App Store,https://cdn.theorg.com/1a8bcbb7-2800-4aab-ab34-f88055d9410f_thumb.jpg,Greg Joswiak,3
Scott Seviour,"Director Of Worldwide Buzz Marketing, Apple",https://cdn.theorg.com/a3669e87-c3fb-41d9-86c7-9103eed22ce9_thumb.jpg,Greg Joswiak,3
Nola Weinstein,Head Of Worldwide Events & Experiences,https://cdn.theorg.com/e43b548e-6ba1-460a-a70c-bf2b37a35d50_thumb.jpg,Greg Joswiak,3
Sutira Phrakaysone,"Head Of Marketing Integration, Channels & Operations, App Store",https://cdn.theorg.com/e43f137e-129d-4a22-aeda-63f4c1da5af0_thumb.jpg,Greg Joswiak,3
Lilly N.,Chief Marketing Officer,https://cdn.theorg.com/8f3abe69-32be-4606-a90f-01c90b420e1c_thumb.jpg,Greg Joswiak,3
Philip W. Schiller,Apple Fellow,https://cdn.theorg.com/26e0bc70-c8d0-4e7d-a12a-8afd206f6d83_thumb.jpg,Eddy Cue,3
Dyllon Young,"Principal Product Manager, Apple Podcasts",https://cdn.theorg.com/2665e1d0-7a10-4ab6-8963-011172e3914e_thumb.jpg,Eddy Cue,3
Kimberly Steele,"Global Process Lead, Compensation Services Communications",https://cdn.theorg.com/384d1267-a2d3-4628-b741-8359d9a6c832_thumb.jpg,Kristin Huguet Quayle,3
Mehak Chawla,"Corporate Communications Lead, India",https://cdn.theorg.com/1f09bc09-8ebf-40e4-9d91-fdbc7de3083f_thumb.jpg,Kristin Huguet Quayle,3
Debora C.,Global Digital Lead | Worldwide Partner Communications,https://cdn.theorg.com/9f3fe3f6-5c2d-4c35-9d60-cd0c23d1b463_thumb.jpg,Kristin Huguet Quayle,3
Olivia Alair Dalton,"Senior Director, Corporate Communications",https://cdn.theorg.com/8c53cab0-5338-436e-9f93-b9744b6f7c9d_thumb.jpg,Kristin Huguet Quayle,3
